,Name,Distance,Mass,Radius,Gravity
163,2MASS J08533619-0329321,27.6,1.5738461738999997e+31,710594.3526120001,1477292064217247.0
164,2MASSI J0859254-194926 [de],50.0,1.021978035e+31,650824.7341679999,1047377755574115.2
165,2MASSI J0937347+293142,20.0,8.584615494e+30,624260.459304,917235498285757.2
166,2MASS 0939−2448,17.4,6.540659424e+30,630901.52802,691489819259036.9
167,2MASS J09490860-1545485 [de],59.0,1.0015384743e+31,637542.596736,1047814162972271.0
168,2MASS J10073369-4555147,46.0,8.993406707999999e+30,624260.459304,960913379156507.2
169,2MASSI J1010148-040649 [de],55.0,1.0424175957e+31,650824.7341679999,1068325310685597.6
170,2MASS J10224821+5825453 [de],60.0,5.518681388999999e+30,936390.688956,393100927836752.94
171,2MASSW J1036530-344138 [de],53.0,1.0015384743e+31,644183.665452,1037011955106577.6
172,2MASS J1047538+212423 [de],34.4,8.584615494e+30,624260.459304,917235498285757.2
173,Luhman 16B,6.516,8.789011100999999e+30,677389.0090320001,865421541566533.4
174,Luhman 16A,6.516,8.175824279999999e+30,670747.940316,813014020168421.9
175,DENIS-P J1058.7−1548,49.0,1.3081318848e+31,664106.8716000001,1313830656592169.8
176,TWA 28,180.0,7.358241851999999e+30,1587215.4231240002,309217466248157.1
177,Cha 110913-773444,163.0,1.635164856e+30,1195392.36888,91238240041122.92
178,SDSS J111010.01+011613.1,63.0,1.839560463e+30,823492.520784,148997932325220.88
179,2MASS J11145133−2618235,18.2,6.745055030999999e+30,637542.596736,705670762818060.0
180,TWA 26,137.0,6.131868209999999e+30,1461035.11752,279935509217081.7
181,2MASS J11544223-3400390 [de],129.0,7.562637458999999e+30,996160.3074,506372232228232.2
182,2MASSW J1155395-372735 [de],31.0,1.3081318848e+31,664106.8716000001,1313830656592169.8
183,2MASS J12074836-3900043,217.0,3.4747253189999994e+30,1135622.750436,204085536934090.7
184,2MASSI J1217110-031113 [de],36.0,8.584615494e+30,624260.459304,917235498285757.2
185,2M 1237+6526,45.6,8.380219886999999e+30,624260.459304,895396557850381.8
186,TWA 29,262.0,5.109890175e+30,1328213.7432,256607550115658.2
187,SDSSp J125453.90-012247.4 [de],38.0,9.606593529e+30,650824.7341679999,984535090239668.0
188,Kelu-1A,61.0,1.2876923240999997e+31,650824.7341679999,1319695972023385.0
189,Kelu-1B,61.0,1.1854945205999998e+31,650824.7341679999,1214958196465973.5
190,2MASS J13204427+0409045,101.0,1.3694505669e+31,670747.940316,1361798483782107.0
191,SDSSp J132629.82-003831.5 [de],65.0,1.0424175957e+31,644183.665452,1079338973682356.0
192,SDSSp J134646.45-003150.4 [de],48.0,8.993406707999999e+30,624260.459304,960913379156507.2
193,2MASS J13595510-4034582,51.0,1.2876923240999997e+31,664106.8716000001,1293302052582917.0
194,ULAS J141623.94+134836.3,29.7,6.540659424e+30,637542.596736,684286800308421.8
195,SDSS J141659.78+500626.4 [de],149.0,1.2059340812999998e+31,657465.802884,1223421855096875.2
196,DENIS-P J142527.97-365023.4 [de],38.0,4.292307747e+30,876621.070512,326591427419928.7
197,LHS 2924,38.5,1.5534066132e+31,703953.2838960001,1471862174248303.2
198,2MASS J14392837+1929150,47.0,1.4716483703999998e+31,684030.0777480002,1435009212297272.5
199,LSPM J1440+1339,72.0,1.8804395844e+31,790287.177204,1587085351975835.8
200,2MASS J14482563+1031590 [de],47.0,1.2059340812999998e+31,657465.802884,1223421855096875.2
201,CFBDSIR 1458+10A,104.0,2.2687912377e+30,996160.3074,151911669668469.66
202,CFBDSIR 1458+10B,104.0,1.839560463e+30,863338.9330800001,142121104679441.44
203,TVLM 513-46546,35.1,1.5329670525e+31,697312.21518,1466328857803761.0
204,2MASS 1503+2525,20.7,8.993406707999999e+30,624260.459304,960913379156507.2
205,CFBDS J150411+102717,71.0,8.993406707999999e+30,624260.459304,960913379156507.2
206,2MASSW J1506544+132106 [de],46.0,1.4103296882999998e+31,677389.0090320001,1388699682978855.8
207,2MASS 1507−1627,23.9,1.226373642e+31,657465.802884,1244157818742585.2
208,TVLM 868-110639,53.0,1.6147252952999995e+31,717235.4213280001,1501629367343481.0
209,2MASSW J1515008+484742 [de],34.0,1.1650549598999998e+31,657465.802884,1181949927805455.8
210,2MASSI J1526140+204341 [de],67.0,1.1037362777999998e+31,650824.7341679999,1131167976020044.2
211,DENIS-P J153941.96-052042.4 [de],51.0,1.2876923240999997e+31,664106.8716000001,1293302052582917.0
212,2MASS J15462718-3325111 [de],37.0,8.993406707999999e+30,624260.459304,960913379156507.2
213,2MASSW J1552591+294849 [de],68.0,6.131868209999999e+30,949672.826388,430670014180125.6
214,2MASSW J1555157-095605 [de],44.0,1.4512088096999998e+31,684030.0777480002,1415078528793143.8
215,2MASS J16150413+1340079 [de],48.0,8.584615494e+30,624260.459304,917235498285757.2
216,SDSSp J162414.37+002915.6 [de],36.0,8.789011100999999e+30,624260.459304,939074438721132.0
217,2MASS J16262034+3925190 [de],110.0,1.4512088096999998e+31,684030.0777480002,1415078528793143.8
218,2MASSW J1632291+190441 [de],50.0,1.0015384743e+31,644183.665452,1037011955106577.6
219,WISEPA J164715.59+563208.2,28.0,8.380219886999999e+30,624260.459304,895396557850381.8
220,LSPM J1658+7027 [de],60.0,1.4920879310999998e+31,690671.146464,1440950089111003.5
221,2MASSI J1726000+153819,114.0,4.905494568e+30,929749.62024,351918925872902.6
222,SDSSp J175032.96+175903.9,90.0,9.606593529e+30,644183.665452,994684936530798.8
223,2MASS J18283572-4849046,39.0,9.197802314999998e+30,630901.52802,972407558333020.4
224,LSR J1835+3259,18.5,1.5738461738999997e+31,710594.3526120001,1477292064217247.0
225,2MASSW J1841086+311727,138.0,1.3694505669e+31,670747.940316,1361798483782107.0
226,2MASS J18432213+4040209,46.0,1.9621978272e+31,810210.3833519999,1615365561383815.5
227,2MASS J20004841-7523070,105.0,5.109890175e+30,1248520.918608,272986755442189.6
228,SDSS J204749.61-071818.3,65.0,9.402197922e+30,637542.596736,983662275443356.4
229,2MASSI J2057540-025230,47.0,1.4307692489999998e+31,677389.0090320001,1408825765340868.2
230,2MASSI J2104149-103736,62.0,1.4103296882999998e+31,677389.0090320001,1388699682978855.8
231,PSO J318.5−22,80.0,1.3285714454999997e+30,1016083.513548,87213023568720.42
232,HB 2124-4228,113.0,1.9213187058e+31,803569.3146360001,1594784113115495.2
233,2MASS J21392676+0220226,32.1,9.402197922e+30,637542.596736,983662275443356.4
234,2MASS J21481628+4003593,26.3,1.1241758384999998e+31,657465.802884,1140478000514036.2
235,2MASSW J2206450-421721,93.0,4.496703354e+30,883262.1392280001,339570893386134.1
236,2MASSW J2208136+292121,154.0,5.518681388999999e+30,936390.688956,393100927836752.94
237,2MASSW J2224438-015852,38.0,1.2468132027e+31,657465.802884,1264893782388295.0
238,2MASS J22282889-4310262,35.0,8.584615494e+30,624260.459304,917235498285757.2
239,2MASS J22373255+3922398,64.0,1.4920879310999998e+31,690671.146464,1440950089111003.5
240,2MASSW J2244316+204343,56.0,2.452747284e+30,856697.864364,190963758225606.1
241,2MASS J23224684-3133231,56.0,4.905494568e+30,923108.551524,354450716706520.6
242,2MASS J23225299-6151275,148.0,3.4747253189999994e+30,1055929.925844,219488218966852.28
243,2MASS J23515044-2537367,67.0,1.7986813416e+31,770363.971056,1557342373115718.8
244,2MASSI J2356547-155310,74.0,1.6351648559999995e+31,723876.4900440001,1506686532789185.5
245,WISE 0410+1502,20.0,1.226373642e+30,777005.0397719999,105274892355141.84
246,WISE 0458+6434A,35.9,3.065934105e+30,2789248.86072,73316442890188.05
247,WISE 0458+6434B,35.9,2.04395607e+30,2523606.11208,54022642129612.25
248,WISE 1405+5534,25.3,6.131868209999999e+30,571131.909576,716114093346023.0
